title,description,abv,ibu,price,tasting_notes,beverage_type,beverage_style,beverage_availability,serving_format,status
Cascade Falls IPA,A bold West Coast IPA brewed with Cascade and Centennial hops.,6.5,65,$7,Bright citrus and pine on the nose with a clean bitter finish. Notes of grapefruit and resinous hops.,Beer,IPA,Year-Round,"Draft,Can",publish
Midnight Stout,A smooth and rich dry stout with layers of roasted malt complexity.,7.2,35,$8,Deep coffee and dark chocolate flavors with a silky mouthfeel and subtle roasted bitterness.,Beer,Stout,Year-Round,"Draft,Bottle",publish
Golden Lager,A crisp and refreshing American lager perfect for any occasion.,4.8,15,$6,Light and clean with subtle malt sweetness. Crisp and highly drinkable with a soft bready finish.,Beer,Lager,Year-Round,"Draft,Can,Bottle",publish
Honey Wheat,A hazy wheat ale brewed with local wildflower honey for a touch of sweetness.,5.1,12,$7,Soft wheat character with delicate floral honey notes and a smooth easy-drinking finish.,Beer,Wheat Beer,Seasonal,"Draft",publish
Raspberry Sour,A tart and refreshing berliner weisse loaded with fresh raspberry puree.,4.5,8,$8,Bright raspberry sourness with a clean lactic tartness. Lightly pink and absolutely refreshing.,Beer,Sour,"Summer Seasonal","Draft,Can",publish
Double IPA Inferno,An intense West Coast Double IPA with massive hop aroma and punishing bitterness.,9.0,90,$9,Waves of tropical fruit and dank resin. Big hop bitterness balanced by a solid malt backbone.,Beer,IPA,Year-Round,Can,publish
English Brown Ale,A traditional English-style brown ale with rich nutty malt character.,5.4,25,$7,Toasted bread and hazelnut with a hint of caramel. Balanced and malt-forward with a dry finish.,Beer,Brown Ale,Year-Round,Bottle,publish
Pumpkin Porter,A seasonal autumn porter brewed with real pumpkin and warming spices.,6.0,28,$8,Roasted malt with pumpkin spice warmth — cinnamon, nutmeg, and a hint of vanilla in every sip.,Beer,Porter,"Fall Seasonal","Draft,Can",publish
Winter Warmer,A robust winter ale with a full body and holiday spice character.,8.5,32,$9,Rich caramel and dried fruit notes with warming spice and a long smooth finish. Perfect for cold evenings.,Beer,Winter Ale,"Winter Seasonal",Bottle,publish
Belgian Witbier,A classic Belgian-style white ale spiced with coriander and orange peel.,5.0,14,$7,Hazy and pale with fresh citrus zest and gentle spice. Light bodied and wonderfully refreshing.,Beer,Witbier,Year-Round,Bottle,publish
Session IPA,A crushable session IPA with big hop flavor at a modest strength.,4.2,45,$6,Tropical and citrusy hop aroma with a light clean body. All the flavor of an IPA without the weight.,Beer,IPA,Year-Round,Can,publish
Coffee Porter,A smooth porter dry-hopped with cold-brew coffee from a local roastery.,6.8,30,$8,Rich coffee and dark chocolate with a smooth velvety body. Coffee forward but never bitter.,Beer,Porter,Year-Round,Draft,publish
Passionfruit Gose,A tropical take on the traditional German gose with passionfruit and sea salt.,4.0,5,$8,Tart and tropical with a subtle salty bite. Passionfruit leads and a clean refreshing finish follows.,Beer,Gose,"Summer Seasonal",Can,publish
Hazy New England IPA,A juicy and pillowy soft NEIPA bursting with tropical hop flavor.,7.0,55,$8,Mango and stone fruit explode on the palate. Soft bitterness and a creamy smooth body throughout.,Beer,New England IPA,Year-Round,Can,publish
Oatmeal Stout,A silky oatmeal stout with extra body from flaked oats and roasted barley.,6.5,38,$8,Smooth and creamy with dark chocolate and espresso notes. Oats add a luxurious silky texture.,Beer,Stout,"Winter Seasonal","Draft,Bottle",publish
Classic Apple Cider,A dry craft cider made from freshly pressed Pacific Northwest apples.,5.5,0,$7,Crisp apple flavor with a pleasantly dry finish. Light effervescence and clean fruit character.,Cider,Dry Cider,Year-Round,"Can,Bottle",publish
Dry Hopped Pilsner,A Czech-inspired pilsner dry-hopped with Saaz hops for extra floral aroma.,4.6,30,$6,Crisp and clean with a floral Saaz hop nose. Soft malt base and a refreshingly dry bitter finish.,Beer,Pilsner,Year-Round,Can,publish
Farmhouse Saison,A rustic Belgian-style farmhouse ale fermented with a wild yeast strain.,6.2,22,$8,Earthy and spicy with hints of pepper and hay. Complex and funky with a bone-dry effervescent finish.,Beer,Saison,"Spring Seasonal",Bottle,publish
Peach Cider,A semi-sweet summer cider made with ripe peaches and fresh-pressed apple juice.,5.8,0,$7,Bright peachy sweetness balanced by natural apple acidity. Juicy and refreshing with a clean finish.,Cider,Fruit Cider,"Summer Seasonal",Can,publish
Dark Lager,A smooth and approachable Munich-style dunkel with toasted malt character.,5.3,20,$6,Dark amber with bready Munich malt sweetness. Clean lager profile with hints of toasted bread and caramel.,Beer,Dark Lager,Year-Round,Draft,publish
